"name","state","lat","lng"
"Abanda",AL,33.091627,-85.527029
"Abbeville",AL,31.564689,-85.259124
"Adamsville",AL,33.60575,-86.97465
"Addison",AL,34.202681,-87.178004
"Akron",AL,32.879495,-87.741679
"Alabaster",AL,33.219442,-86.823907
"Albertville",AL,34.26313,-86.21066
"Alexander",AL,32.92724,-85.937122
"Alexandria",AL,33.760819,-85.872008
"Aliceville",AL,33.123686,-88.159364
"Allgood",AL,33.907623,-86.516109
"Altoona",AL,34.039204,-86.305697
"Andalusia",AL,31.309436,-86.478031
"Anderson",AL,34.915675,-87.274274
"Anniston",AL,33.67344,-85.810918
"Arab",AL,34.332387,-86.501167
"Ardmore",AL,34.987838,-86.829022
"Argo",AL,33.691576,-86.503766
"Ariton",AL,31.597772,-85.713061
"Arley",AL,34.076234,-87.217831
"Ashford",AL,31.185284,-85.236236
"Ashland",AL,33.269892,-85.833706
"Ashville",AL,33.835197,-86.270015
"Athens",AL,34.779021,-86.950799
"Atmore",AL,31.127936,-87.457643
"Attalla",AL,33.986189,-86.121037
"Auburn",AL,32.607722,-85.489545
"Autaugaville",AL,32.432563,-86.658752
"Avon",AL,31.179727,-85.279211
"Axis",AL,30.922563,-88.02185
"Babbie",AL,31.302083,-86.319437
"Baileyton",AL,34.260858,-86.608788
"Bakerhill",AL,31.776923,-85.295408
"Ballplay",AL,34.023046,-85.801481
"Banks",AL,31.813264,-85.836434
"Bay Minette",AL,30.894436,-87.791306
"Bayou La Batre",AL,30.407586,-88.263271
"Bear Creek",AL,34.255481,-87.713399
"Beatrice",AL,31.733309,-87.209046
"Beaverton",AL,33.935411,-88.021778
"Belgreen",AL,34.474665,-87.861685
"Belk",AL,33.651647,-87.928609
"Bellamy",AL,32.463658,-88.131481
"Belle Fontaine",AL,30.489492,-88.10594
"Benton",AL,32.307931,-86.817546
"Berry",AL,33.666702,-87.609311
"Bessemer",AL,33.370789,-86.971596
"Billingsley",AL,32.66522,-86.706673
"Birmingham",AL,33.527444,-86.799047
"Black",AL,31.010249,-85.742791
"Blountsville",AL,34.075728,-86.583728
"Blue Ridge",AL,32.4989,-86.182436
"Blue Springs",AL,31.663516,-85.503526
"Boaz",AL,34.19902,-86.155151
"Boligee",AL,32.7681,-88.028579
"Bon Air",AL,33.25937,-86.327148
"Boykin",AL,32.068375,-87.294343
"Brantley",AL,31.581992,-86.256784
"Brantleyville",AL,33.219303,-86.882522
"Brent",AL,32.944893,-87.172088
"Brewton",AL,31.109175,-87.076583
"Bridgeport",AL,34.949312,-85.723765
"Brighton",AL,33.439229,-86.945385
"Brilliant",AL,34.025353,-87.769145
"Bristow Cove",AL,34.109216,-86.240993
"Brook Highland",AL,33.442183,-86.686686
"Brookside",AL,33.636966,-86.89608
"Brookwood",AL,33.239844,-87.331494
"Broomtown",AL,34.365728,-85.532112
"Brundidge",AL,31.717639,-85.81755
"Bucks",AL,31.016881,-88.026385
"Butler",AL,32.095113,-88.21397
"Calera",AL,33.122324,-86.745644
"Calvert",AL,31.15447,-88.01046
"Camden",AL,31.998493,-87.28895
"Camp Hill",AL,32.797327,-85.655833
"Carbon Hill",AL,33.894991,-87.522078
"Cardiff",AL,33.647188,-86.930557
"Carlisle-Rockledge",AL,34.114451,-86.124073
"Carlton",AL,31.348571,-87.835666
"Carolina",AL,31.23415,-86.521001
"Carrollton",AL,33.261903,-88.095071
"Castleberry",AL,31.299678,-87.029129
"Catherine",AL,32.18617,-87.469978
"Cedar Bluff",AL,34.221422,-85.588565
"Center Point",AL,33.643903,-86.684567
"Centre",AL,34.155363,-85.668842
"Centreville",AL,32.958798,-87.132305
"Chatom",AL,31.469145,-88.246019
"Chelsea",AL,33.326887,-86.629519
"Cherokee",AL,34.7577,-87.965589
"Chickasaw",AL,30.77145,-88.079697
"Childersburg",AL,33.291877,-86.340599
"Choccolocco",AL,33.674346,-85.710918
"Chunchula",AL,30.927194,-88.2082
"Citronelle",AL,31.097266,-88.249839
"Clanton",AL,32.841704,-86.623008
"Clay",AL,33.696582,-86.608166
"Clayhatchee",AL,31.236925,-85.721478
"Clayton",AL,31.882414,-85.460541
"Cleveland",AL,34.002179,-86.561352
"Clio",AL,31.708516,-85.611039
"Coaling",AL,33.169901,-87.349887
"Coats Bend",AL,34.077426,-85.874184
"Coffee Springs",AL,31.165836,-85.910898
"Coffeeville",AL,31.766564,-88.086049
"Coker",AL,33.243752,-87.681329
"Collinsville",AL,34.262193,-85.867868
"Colony",AL,33.941185,-86.901864
"Columbia",AL,31.295351,-85.110202
"Columbiana",AL,33.19145,-86.615666
"Concord",AL,33.461986,-87.040435
"Coosada",AL,32.495394,-86.326543
"Cordova",AL,33.761292,-87.201099
"Cottondale",AL,33.193047,-87.454861
"Cottonwood",AL,31.054033,-85.29956
"County Line",AL,33.820895,-86.71973
"Courtland",AL,34.669946,-87.327892
"Cowarts",AL,31.206248,-85.309769
"Creola",AL,30.874343,-88.009442
"Crossville",AL,34.285486,-85.998756
"Cuba",AL,32.440733,-88.374798
"Cullman",AL,34.179337,-86.840793
"Cullomburg",AL,31.713061,-88.291774
"Cusseta",AL,32.787654,-85.305748
"Dadeville",AL,32.826114,-85.776201
"Daleville",AL,31.291397,-85.711418
"Daphne",AL,30.625545,-87.895979
"Dauphin Island",AL,30.250913,-88.171268
"Daviston",AL,33.056839,-85.634329
"Dayton",AL,32.350958,-87.641573
"Deatsville",AL,32.588972,-86.388984
"Decatur",AL,34.573321,-86.992135
"Deer Park",AL,31.218369,-88.328023
"Delta",AL,33.440524,-85.675905
"Demopolis",AL,32.499938,-87.825426
"Detroit",AL,34.027379,-88.167831
"Dodge",AL,34.045414,-86.88267
"Dora",AL,33.729703,-87.083874
"Dothan",AL,31.233698,-85.406823
"Double Springs",AL,34.15134,-87.403488
"Douglas",AL,34.168258,-86.323386
"Dozier",AL,31.505407,-86.369235
"Dunnavant",AL,33.508673,-86.529843
"Dutton",AL,34.606152,-85.91185
"East Brewton",AL,31.09144,-87.055345
"East Point",AL,34.191023,-86.791785
"Eclectic",AL,32.640179,-86.041096
"Edgewater",AL,33.530099,-86.95279
"Edwardsville",AL,33.88374,-85.414124
"Egypt",AL,34.075931,-86.165051
"Elba",AL,31.417313,-86.077189
"Elberta",AL,30.373689,-87.595778
"Eldridge",AL,33.922018,-87.620108
